Artist,Song,Album,Genre
Enrique Iglesias,Move to Miami,,Pop
Jay Park,MOMMAE,,Kpop
Måns Zelmerlöw,Heroes,,Pop
Riot Games,Piercing Light Mako Remix,,EDM
MOBB,Full House,,Kpop
Hyolyn,Dally,,Kpop
Nicky Jam,X-remix,,Film
Qwalla,Made in china/korea,,Rap
Kenji Kawai,Going Down,,Film
Super Junior,Devil,,Kpop
G-Dragon,Won,,Kpop
Riot Games,Worlds Collide,,Film
NCT 127,Chain,,Kpop
Zico,Bermuda Triangle,,Kpop
Super Junior,Lo siento,,Kpop
Jidenna,Classic Man,,Rap
Lee Hi,World Tour,,Kpop
schmoyoho,Trump vs Comey,,Comedy
Childish Gambino,This is america,,Pop
BoA,One Shot two shot,,Kpop
JHMJAMS,One Shot two shot  (JHMJAMS),,Pop
G-Dragon,Coup d detet,,Kpop
Pristen V,Get it,,Kpop
YG,Big Bank,,Rap
Katie,Remember,,Kpop
EXO,Love me right,,Kpop
SHINee,Get the treaure,,Pop
Luhan,Excited,,Pop
SHINee,Dream Girl,,Kpop
Luhan,Catch me when i fall,,Pop
NCT 127,Once Again,,Kpop
Jay Park,My Last ,,Kpop
tommy emmanuel,Lewis and clark,,Film
Jimin,Walkin,,Kpop
Ed Shear,Shape of you,,Pop
Giggs,Lock Doh,,Rap
Zico,I am you you are me,,Kpop
Mino,Fear,,Kpop
Chen,everytime,,Kpop
Fx,All Mine,,Kpop
Taeyeon,Starlight,,Kpop
Hyuna,Roll Deep,,Kpop
Luhan,Promises,,Kpop
Fx,Papi,,Kpop
Lee Hi,Offical,,Kpop
Gfriend,Navillera,,Kpop
Dj Quik,Move Something,,Rap
EXO,Monster/BlackWhite/Excited,,Pop
Kris,July,,Pop
Luna,Honey Bee,,Kpop
MOBB,Hit me,,Kpop
Monsta X,Hero,,Kpop
Augst D,Give it to me,,Kpop
Maroon 5,Girls like you,,Pop
Luna,Free somebody,,Kpop
Sik-K,Eung Freestyle,,Rap
Red Velet,Dumb Dumb,,Kpop
Luhan,Deep,,Pop
G-Dragon,Crayon,,Kpop
IOI,Whatta Man,,Kpop
Gen Hoshio,Weekend,,Pop
GBOYSWAG,Uh-Huh,,Pop
schmoyoho,too may abs,,Comedy
Hans Zimmer,Interstallar Main Theme,,Film
DNCE,Cake By the Ocean,,Pop
Mino,Body ,,Kpop
Big Bang,Bae Bae,,Kpop
Jay Park,All i wanna do ,,Pop
AKUG,Re-Bye,,Kpop
IOI,Pick me,,Kpop
John Mayer,Passion Acoutic Drake cover,,Pop
Chance the Rapper,No Problem,,Rap
Trouble Maker,Now,,Kpop
EXO,Monster,,Kpop
Big Bang,Last Dance,,Kpop
VIXX,Fantasy,,Kpop
Big Bang,Fantastic baby,,Kpop
Luhan,Adventure Time,,Pop
Riot Games,Worlds Collide,,Film
NCT 127,Wake up,,Kpop
schmoyoho,Steve Jobs vs bill gates,,Rap
Blackpink,Stay,,Kpop
Heize,Shut and Groove,,Kpop
Taeyang,Ringa LINGA,,Kpop
DPR Live,Right Here Right Now,,Kpop
EXO,Monster(Chinsese ver),,Kpop
VIXX,Milky Way,,Kpop
Luhan,LU,,Pop
Big Bang,GirlFriend,,Kpop
Big Bang,FXXT it,,Kpop
bewhy ,Foverer,,Kpop
4Minute,Canvas ,,Kpop
Jay Park,Aquaman,,Kpop
Jay Park,All i wanna do ,,Kpop
Jay Park,Aint No party like AOMG party,,Kpop
Lil Dicky,Save that money,,Rap
Fx,4 walls,,Kpop
Loco,Too much,,Kpop
Three people,This is me,,Pop
NCT U,The 7th Sense (instumental),,Kpop